name,quantity,notes,final_price,original_price,discount,url
"Crystal Mentor Azoxystrobin 14% + Epoxiconazole 9% Sc Fungicide, Effective Control of Sheath Blight In Paddy",1.00 liter,1 Ltr x 1 Qty,2858,3500,642,https://agribegri.com/products/buy-crystal-mentor-azoxystrobin-14--epoxiconazole-9-sc-fungicide-online.php
"VIP Farmer Safety Shoes, Short Length Paddy Shoes, Agriculture Shoes, Made With Durable, Flexible, And Unbreakable Material",1.00 set,5 Uk / SB 38,1586,2999,1413,https://agribegri.com/products/shop-short-length-paddy-shoes-online.php
"VIP Farmer Safety Shoes, Long Length Paddy Shoe, Agriculture Shoe, Provides Protection Against Snake Bites, Insects, Sores, And Other Environ. Hazards",1.00 set,5 Uk / B 38,1586,2999,1413,https://agribegri.com/products/shop-vip-farmer-safety-shoes-online.php
"Novadok - Novaluron 5.25% + Indoxacarb 4.5% SC, Broad Spectrum Lepidopteran Insecticide",500.00 ml,250 ML x 2 Qty,1381,2050,669,https://agribegri.com/products/buy-novadok-novaluron-525--indoxacarb-45-ww-sc--online-agribegri.php
"Emazek - Emamectin Benzoate 1.9% EC, Widely Used To Control Lepidoptera Pests",500.00 ml,500 ML x 1 Qty,645,1465,820,https://agribegri.com/products/buy-agribegri-emazek-emamectin-benzoate-19--ec-online.php
"Finopride - Fipronil 40% + Imidacloprid 40% WG Unique Insecticide, Control White Grub and Sucking Pests",100.00 gm,100 Gm x 1 Qty,728,1395,667,https://agribegri.com/products/agribegri-fipronil-40---imidacloprid-40--wg-online.php
"Mytoren - Pymetrozine 50% WG, Powerful Control Against Rice Plant Hopper, Also Control All Stages Of Aphids, Whiteflies.",500.00 gm,500 Gm x 1 Qty,1277,3520,2243,https://agribegri.com/products/buy-mytoren-pymetrozine-50-wg--online-agribegri.php
"Sellrod - Chlorpyrifos 50% EC, Control Insects Such As Wireworm, Beetles, and Aphids",1.00 liter,1 Ltr x 1 Qty,745,1150,405,https://agribegri.com/products/buy-agribegri-sellrod-chlorpyrifos-50-ec-liquid-insecticides.php
"Emoxam - Emamectin Benzoate 3% + Thiamethoxam 12% WDG, Powder Insecticide for Plants.",250.00 gm,250 Gm x 1 Qty,429,925,496,https://agribegri.com/products/buy-agribegri-emoxam-emamectin-benzoate-3--thaimothoxam-12-wdg-online.php
"Acedok 20 - Acetamiprid 20% SP, Insecticide For All Types of Vegetables, Fruits, and Flower Plants.",250.00 gm,250 Gm x 1 Qty,265,500,235,https://agribegri.com/products/buy-agribegri-acedok-20-acetamiprid-20-sp-online--best-for-aphids--whiteflies--thrips--spider-mites.php
Magic Virox Plus An Organic Bio Herbal Virus Controller Product (Indian Vedic Technology),250.00 ml,250 ML x 1 Qty,384,495,111,https://agribegri.com/products/magic-virox-plus-an-organic-bio-herbal-virus-controller-agribegri.php
"Dr. Anand Neem 5.0% (Azadirachtin 50000 PPM) Bio Insecticide, Particularly Useful For Cotton Bollworms And Leguminous Crop Pod Borers",100.00 ml,100 ML x 1 Qty,2075,2306,231,https://agribegri.com/products/dr-anand-agro-azadirachtin-50000-ppm-neem-oil-bio-insecticide.php
"Dr. Anand Neem Oil 10000 PPM Effective Bio Insecticide,  Reduces The Incidence Of Harmful Caterpillars In Crops.",100.00 ml,100 ML x 1 Qty,535,595,60,https://agribegri.com/products/dr-anand-neem-10--azadirachtin-10000-ppm-neem-oil-agribegri.php
"Fast Stick Surface Tension Reducing Agent, High-Quality Adjuvant Spreader",1.00 liter,1 Ltr x 1 Qty,527,620,93,https://agribegri.com/products/fast-stick-surface-tension-reducing-agent--sticking-agent.php
"Bayer Decis 2.8 EC, Deltamethrin 2.8% EC Insecticides For Broad-Spectrum Control of Chewing and Sucking Insects",2.00 liter,100 ML x 20 Qty,2198,3600,1402,https://agribegri.com/products/bayer-decis-deltemethrin-28-ec-insecticides.php
"Bayer Nativo Tebuconazole 50% + Trifloxystrobin 25% WG (75 WG) Fungicide, Used To Control Various Fungal Diseases On Different Crops",250.00 gm,50 Gm x 5 Qty,2005,3250,1245,https://agribegri.com/products/bayer-nativo.php
